the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.862643159841 42.931828482217, -78.86289315741 42.932168486191, -78.86315315531 42.932618483014))",4760,600058501,,,,,Unnamed Street,,14,A70,6,15,14214,14214,97.321471927093
"MULTILINESTRING ((-78.845214165985 42.870862468615, -78.844956091128 42.871653486532))",10718,477797294,316,370,317,369,Smith Street,,12,A31,4,35,14210,14210,90.442700644886571
"MULTILINESTRING ((-78.827217182418 42.865740509822, -78.827070114355 42.866012485554, -78.826087157535 42.867394514466))",11117,477798597,22,98,23,99,James P Coppola,,12,A30,4,35,14210,14210,205.95396010793684
"MULTILINESTRING ((-78.804619308533 42.860630971559, -78.803483224799 42.860864965776, -78.803105296887 42.86093489243, -78.802862201528 42.860991401227, -78.802695808719 42.860994747863))",557,477799268,248,308,,,Mineral Springs Road,,12,A35,4,35,14210,14210,162.83118260894148
"MULTILINESTRING ((-78.868159186902 42.945680508905, -78.86821121075 42.945681449377))",3403,477776677,98,98,99,99,Tioga Street,,12,A41,5,25,14216,14216,4.250599957696331
"MULTILINESTRING ((-78.880745173352 42.880685482189, -78.880940200009 42.880685434038, -78.88097614973 42.880694477819))",7563,477794717,,,,,Lakefront Boulevard,,12,A45,5,25,14202,14202,19.053436056762585
"MULTILINESTRING ((-78.841679132884 42.945003520858, -78.844082199098 42.945024469905))",3951,477776829,222,270,223,285,Woodbridge Avenue,,12,A41,5,25,14214,14214,196.29551930694913
"MULTILINESTRING ((-78.854295176913 42.957867440316, -78.854296126306 42.958643526395))",3670,477773802,60,98,61,99,Hobmoor Avenue,,12,A41,5,25,14216,14216,86.287278320921374
"MULTILINESTRING ((-78.83328316034 42.870150458044, -78.832419132143 42.869817473884))",11027,477797600,1218,1256,1229,1249,Seneca Street,16,01,A21,4,35,14210,14210,79.769981822852287
"MULTILINESTRING ((-78.896921216842 42.93315697798, -78.895606667022 42.933076241379))",3024,600049307,,,,,Unnamed Street,,12,A41,5,25,14207,14207,107.77088364211248
"MULTILINESTRING ((-78.870220123874 42.886786505263, -78.86981218249 42.888050484976))",7343,477793060,196,246,195,245,Oak Street,954D,01,A30,2,35,14203,14203,144.43604432466779
"MULTILINESTRING ((-78.836226147186 42.958371518314, -78.836227091503 42.95840245936))",3787,477773637,,,,,Fairfield Avenue,,03,A41,5,25,14216,14216,3.440930107225748
"MULTILINESTRING ((-78.896358135814 42.955083482166, -78.896817151737 42.955323446915, -78.896888200782 42.955330478325))",2621,477774518,1,49,2,50,Crosslane Road,,12,A40,5,25,14207,14207,51.867486681933869
"MULTILINESTRING ((-78.843065157155 42.870423496253, -78.843396207733 42.870483496913))",10683,477797387,,,,,Interstate 190 Northbound,190,06,A15,1,65,14210,14210,27.882568031036666
"MULTILINESTRING ((-78.828229091863 42.855757436225, -78.827782162484 42.855941492079, -78.827717198358 42.855975450534, -78.827648150995 42.856125424561, -78.827579091583 42.856346438927, -78.827447198565 42.856766469904))",11299,477799830,122,198,133,199,Good Avenue,,12,A40,5,25,14220,14220,139.15985517632538
"MULTILINESTRING ((-78.868073611478 42.944024916014, -78.868135203695 42.944635451802))",3394,477777067,2204,2232,2207,2221,Delaware Avenue,384,01,A31,3,35,14216,14216,68.067578808862052
"MULTILINESTRING ((-78.854969202878 42.887829438336, -78.854994121925 42.887987514208, -78.855248193819 42.888631447782))",7138,477792871,94,126,95,125,Mortimer Street,,12,A41,5,25,14204,14204,92.238777499331718
"MULTILINESTRING ((-78.844511114144 42.920101523184, -78.844471175893 42.92119150745))",5699,477784081,2,98,1,99,Regina Place,,12,A41,5,25,14208,14208,121.22981522726516
"MULTILINESTRING ((-78.895695226901 42.908783489289, -78.897161109762 42.910359498786))",8908,477787137,478,536,473,545,Fargo Avenue,,12,A40,5,25,14213,14213,212.26959673952049
"MULTILINESTRING ((-78.85873315435 42.928538478894, -78.858693172203 42.928656624784, -78.858861350802 42.92947996404, -78.858857617633 42.929627795959, -78.858835668428 42.929795285692, -78.858753156265 42.930008478964))",4729,600058533,,,,,Unnamed Street,,14,A70,6,15,14214,14214,165.89273677670107
"MULTILINESTRING ((-78.813803193378 42.957391478908, -78.813812129686 42.958140470382))",2327,477773902,,,3677,3739,Bailey Avenue,62,01,A25,3,35,14226,14226,83.275872255751068
"MULTILINESTRING ((-78.86683221754 42.893089515738, -78.866406174315 42.894447464154))",7066,477791497,500,582,495,541,Elm Street,954D,01,A30,4,35,14203,14203,154.94515578074916
"MULTILINESTRING ((-78.823927117288 42.830726472764, -78.824236110967 42.830595486795, -78.82459019424 42.830487482123))",11795,477803095,,,2571,2599,Botanical Drive,,12,A41,5,25,14218,14218,60.543219848976037
"MULTILINESTRING ((-78.83618509405 42.847067430643, -78.835340190474 42.847079480472, -78.834917111651 42.847072423539))",11582,477800881,632,634,637,637,Tifft Street,,12,A41,4,25,14220,14220,103.75422948671743
"MULTILINESTRING ((-78.858753156265 42.930008478964, -78.858447925639 42.930468257053, -78.858396741046 42.930621850432, -78.858339316686 42.931064502459))",4721,600058522,,,,,Unnamed Street,,14,A70,6,15,14214,14214,123.89718910814028
"MULTILINESTRING ((-78.878986152338 42.880311473309, -78.879229135427 42.880447467971, -78.879448196957 42.880590486498, -78.879792147957 42.880780497262, -78.879911179941 42.880841464312))",9884,506986503,,,,,Ramp,951K,06,A63,2,45,14202,14202,95.954396597530632
"MULTILINESTRING ((-78.853607175422 42.958654305023, -78.85360239397 42.958654186181, -78.853597705796 42.958653238855, -78.853593253347 42.958651491828, -78.85358917191 42.958648998182, -78.853585585495 42.958645833686, -78.853582603075 42.958642094492, -78.853580315269 42.958637894213, -78.85357879159 42.958633360472, -78.853578078336 42.958628631025, -78.853578197177 42.958623849573, -78.853579144504 42.958619161399, -78.853580891531 42.95861470895, -78.853583385177 42.958610627512, -78.853586549672 42.958607041098, -78.853590288866 42.958604058678, -78.853594489146 42.958601770871, -78.853599022887 42.958600247193, -78.853603752334 42.958599533939, -78.853608533786 42.95859965278, -78.85361322196 42.958600600106, -78.853617674408 42.958602347134, -78.853621755846 42.958604840779, -78.853625342261 42.958608005275, -78.853628324681 42.958611744469, -78.853630612487 42.958615944749, -78.853632136165 42.958620478489, -78.85363284942 42.958625207937, -78.853632730578 42.958629989388, -78.853631783252 42.958634677562, -78.853630036225 42.958639130011, -78.853627542579 42.958643211449, -78.853624378084 42.958646797864, -78.853620638889 42.958649780284, -78.85361643861 42.95865206809, -78.853611904869 42.958653591768, -78.853607175422 42.958654305023))",11820,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.848574203721 42.900162429221, -78.848857184367 42.899947436288, -78.849249172476 42.899687444919, -78.849447129521 42.899558508098, -78.850254109676 42.899089516717))",6881,477789711,,,,,State Route 33,33,01,A15,2,65,14211,14211,182.11687756807135
"MULTILINESTRING ((-78.907407182026 42.950300516472, -78.905764222789 42.950990440702, -78.904703131584 42.951437443417))",2768,477775588,34,198,35,199,Briggs Avenue,,12,A41,5,25,14207,14207,254.47214022071074
"MULTILINESTRING ((-78.821532158569 42.922607441489, -78.820705200487 42.922613476039))",1473,477783311,960,976,963,977,East Delavan Avenue,,12,A31,4,35,14215,14215,67.572634253857245
"MULTILINESTRING ((-78.841016143439 42.88221346774, -78.839222149194 42.882227451136))",6667,477794273,2,98,1,99,Olga Place,,12,A40,5,25,14206,14206,146.69008010083616
"MULTILINESTRING ((-78.851938099798 42.893118494056, -78.851937172707 42.893667483823))",6827,477791486,470,490,469,493,Monroe Street,,12,A40,5,25,14212,14212,61.037511416899811
"MULTILINESTRING ((-78.84307819299 42.919165509704, -78.843097136224 42.918995512611))",5742,484723010,600,602,,,Humboldt Parkway,,12,A30,4,35,14211,14211,18.96376017618282
"MULTILINESTRING ((-78.849563165714 42.924525466013, -78.848449148589 42.924494459798, -78.846488117924 42.924466467922, -78.846451185922 42.92447149227))",5618,477782793,130,298,129,299,Hughes Avenue,,12,A41,5,25,14208,14208,254.41773512304357
"MULTILINESTRING ((-78.85058519393 42.868867427186, -78.849615148374 42.869121498967))",10583,477797808,,,95,113,Elk Street,,12,A41,4,25,14210,14210,84.210211376047937
"MULTILINESTRING ((-78.82056255523 42.954686649181, -78.820623459985 42.954657305104, -78.820708284266 42.954639118379, -78.820796803742 42.954642984227, -78.82087920695 42.954660704101, -78.820977206897 42.954705210805, -78.821045394831 42.954755828152, -78.821079017173 42.954811013408, -78.821113058981 42.954910554952, -78.821121291732 42.955005836185, -78.821118139154 42.955104910443))",2368,600019832,,,,,Marin Circle,,12,A40,5,15,14214,14214,84.510464226318504
"MULTILINESTRING ((-78.859462093313 42.895405483229, -78.859465140923 42.895446437393, -78.85945318038 42.895576495071, -78.859402142773 42.895751450164))",6997,477790771,2,34,,,Orange Street,,12,A40,5,25,14204,14204,38.94751386881471
"MULTILINESTRING ((-78.862263195771 42.845865631499, -78.862004329046 42.845927390667))",11604,800002924,,,,,Driveway,,03,A54,5,15,14218,14218,22.263701062335326
"MULTILINESTRING ((-78.82042116405 42.845292467437, -78.820413166785 42.846126487883))",11426,477801075,82,198,81,199,Ithaca Street,,12,A41,5,25,14220,14220,92.727447932655579
"MULTILINESTRING ((-78.871691126929 42.925988508622, -78.870282132332 42.925976440809))",5157,477782320,736,766,737,767,Bird Avenue,,12,A40,5,25,14209,14209,115.13163422805147
"MULTILINESTRING ((-78.839269190282 42.893007517403, -78.839285099205 42.897231455606))",6810,477791525,718,882,727,879,Fillmore Avenue,,12,A31,4,35,14212,14212,469.6216274836421
"MULTILINESTRING ((-78.873485158352 42.92655051318, -78.873491207004 42.926006484529))",5069,477782293,,,,,Lincoln Parkway,,12,A41,4,25,14209,14209,60.488994040611928
"MULTILINESTRING ((-78.874443100333 42.882101428534, -78.873243206561 42.881887463865))",7441,511383823,2,198,1,99,Booth Alley,,12,A41,5,25,14203,14203,100.95200097086271
"MULTILINESTRING ((-78.81412010257 42.889752471875, -78.812503178118 42.889752474666, -78.811031113929 42.889762481668, -78.810143116807 42.889748502881, -78.809592099746 42.889754441181))",1021,477792438,924,1044,925,1041,East Lovejoy Street,,12,A41,5,25,14206,14206,370.19669651982571
"MULTILINESTRING ((-78.881807183376 42.91949245988, -78.881786727271 42.919705281806, -78.881770210617 42.919962448231))",8518,477784232,628,638,623,639,Richmond Avenue,,12,A31,4,35,14222,14222,52.345954459053559
"MULTILINESTRING ((-78.812413118774 42.873392442026, -78.811772145627 42.873374468535))",702,477796681,2,18,1,17,Rejtan Street,,12,A41,5,25,14206,14206,52.452357430288906
"MULTILINESTRING ((-78.85785621945 42.838377205568, -78.857851438003 42.838377085799, -78.857846749994 42.838376137561, -78.857842297867 42.838374389663, -78.857838216896 42.838371895217, -78.857834631081 42.838368730014, -78.857831649374 42.838364990227, -78.857829362373 42.838360789487, -78.857827839567 42.838356255433, -78.857827127227 42.838351525829, -78.857827246996 42.838346744382, -78.857828195234 42.838342056373, -78.857829943132 42.838337604245, -78.857832437578 42.838333523275, -78.857835602781 42.838329937459, -78.857839342568 42.838326955752, -78.857843543308 42.838324668751, -78.857848077362 42.838323145946, -78.857852806966 42.838322433605, -78.857857588413 42.838322553374, -78.857862276422 42.838323501613, -78.85786672855 42.83832524951, -78.85787080952 42.838327743956, -78.857874395336 42.83833090916, -78.857877377043 42.838334648947, -78.857879664044 42.838338849686, -78.857881186849 42.83834338374, -78.85788189919 42.838348113344, -78.857881779421 42.838352894792, -78.857880831182 42.838357582801, -78.857879083285 42.838362034928, -78.857876588838 42.838366115899, -78.857873423635 42.838369701714, -78.857869683848 42.838372683421, -78.857865483109 42.838374970422, -78.857860949055 42.838376493228, -78.85785621945 42.838377205568))",11882,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.819898080892 42.84037243197, -78.818869174438 42.840357462661))",11473,477801715,,,103,129,Harding Road,,12,A45,5,25,14220,14220,84.198520177006799
"MULTILINESTRING ((-78.843166191564 42.91467445958, -78.839122090652 42.914631449429))",5459,477785599,570,682,571,661,East Ferry Street,,12,A31,4,35,14211,14211,330.51781086640136
"MULTILINESTRING ((-78.851967167073 42.877454491987, -78.851803154687 42.87737250169, -78.851393200799 42.877127455559, -78.851255155468 42.877055484184, -78.850522152838 42.876767474999))",10784,477795842,646,688,647,687,Swan Street,16,01,A21,4,35,14210,14210,141.20461661418096
"MULTILINESTRING ((-78.858547197936 42.915290499508, -78.857637150022 42.915284480083))",5314,477785391,154,178,153,175,East Ferry Street,,12,A31,4,35,14208,14208,74.371997418396603
"MULTILINESTRING ((-78.89865913689 42.925921445013, -78.898612198592 42.926590489099, -78.89858615801 42.926975474436, -78.898563213946 42.927314435356, -78.898554125666 42.927496439662, -78.898549122957 42.927636437489, -78.898557122836 42.928009457314))",9325,477782355,,,,,Interstate 190 Northbound,190,06,A15,1,65,14213,14213,232.37849553743104
"MULTILINESTRING ((-78.859556203347 42.912438449513, -78.858605153233 42.912422477311))",5341,477786239,158,182,155,181,Glenwood Avenue,,12,A40,5,25,14208,14208,77.743611956153785
"MULTILINESTRING ((-78.87026913191 42.859366441979, -78.870530113548 42.859674448823, -78.870812137346 42.859974449537, -78.871112323606 42.860313135944))",9732,477799445,,,,,State Route 5,5,01,A15,2,65,14203,14203,125.86155671201516
"MULTILINESTRING ((-78.863274170741 42.887766514894, -78.863368157008 42.887922434747, -78.863457198977 42.888132454044, -78.863886191437 42.889185438503, -78.864149103437 42.889814466771))",7307,477792884,2,60,1,77,Ash Street,,12,A41,5,25,14204,14204,238.79993731992226
"MULTILINESTRING ((-78.864278145076 42.945653502575, -78.864873176597 42.945661475379, -78.867191129571 42.945661495178, -78.868159186902 42.945680508905))",3427,477776688,2,96,1,97,Tioga Street,,12,A41,5,25,14216,14216,317.03995544189866
"MULTILINESTRING ((-78.872182119077 42.940087514923, -78.872180194127 42.940441515276, -78.872258151832 42.940537464665))",3377,477778070,,,377,397,Lincoln Parkway,,12,A45,4,25,14216,14216,51.783477648914733
"MULTILINESTRING ((-78.889704148134 42.942382476513, -78.88837821687 42.942393468216))",2965,477777493,56,90,57,89,Grote Street,,12,A41,5,25,14207,14207,108.31632656252835
"MULTILINESTRING ((-78.813688146685 42.917845494983, -78.813689163317 42.918643463939))",1447,477784796,2326,2354,2329,2351,Bailey Avenue,62,01,A21,3,35,14211,14211,88.7175320881706
"MULTILINESTRING ((-78.894571172527 42.925822479194, -78.89448621848 42.926466436315, -78.894450136444 42.926832495091))",9350,477782397,330,346,331,351,Dewitt Street,,12,A40,5,25,14213,14213,112.7408684933165
"MULTILINESTRING ((-78.866740095863 42.855387101218, -78.866799057665 42.855391598673, -78.867064320941 42.855408350072, -78.867132795157 42.855416037061, -78.867184276319 42.855431447819, -78.867257010117 42.855476158204, -78.867361158013 42.855588414583, -78.867473607794 42.855708961606, -78.867546431414 42.855755100362, -78.867607240618 42.855764477968, -78.867640526614 42.855744876153))",9618,800002659,,,,,Bicycle Route 517,,12,A76,4,5,14203,14203,92.390214252649983
"MULTILINESTRING ((-78.855580189075 42.87305743825, -78.855932143382 42.873120478903))",10418,477796742,,,,,Interstate 190 Northbound,190,06,A15,1,65,14210,14204,29.622412123388461
"MULTILINESTRING ((-78.846457136492 42.940344487663, -78.845291129799 42.940325465851))",4499,477777970,1566,1604,1573,1599,Amherst Street,,12,A31,4,35,14214,14214,95.269950141781479
"MULTILINESTRING ((-78.8615731399 42.898499454096, -78.860992147271 42.900286512493))",6934,477789857,188,252,189,257,Mulberry Street,,12,A40,5,25,14204,14204,204.28588693372538
"MULTILINESTRING ((-78.900176220711 42.905792447292, -78.900236222291 42.905751504017, -78.900297209067 42.90565245323, -78.900369177888 42.905399514591))",8852,477787890,,,,,Ramp,,12,A60,4,25,14201,14201,47.511522674517536
"MULTILINESTRING ((-78.850222103647 42.905607503021, -78.849140174208 42.905600451333))",6177,477787846,466,496,467,497,Dodge Street,,12,A41,5,25,14208,14208,88.43200156045539
"MULTILINESTRING ((-78.875204214512 42.883155448364, -78.876361192818 42.883344466482))",7463,477794064,,,1,19,Church Street,5,01,A25,2,35,14202,14202,96.90450660307981
"MULTILINESTRING ((-78.82390411633 42.858907464263, -78.823767123215 42.859144434295))",11323,477799505,100,198,93,199,Midland Street,,12,A41,5,25,14220,14220,28.629848060707435
"MULTILINESTRING ((-78.864903160993 42.923748474757, -78.8655931516 42.924008480308, -78.86631315406 42.924448486103))",5175,600058587,,,,,Unnamed Street,,14,A70,6,15,14209,14209,139.87093238779892
"MULTILINESTRING ((-78.857162204217 42.89634143607, -78.856450130576 42.896630440832))",6971,477790437,242,280,241,279,Bfnc Drive,,12,A40,4,25,14204,14204,66.488113975632672
"MULTILINESTRING ((-78.893451110532 42.909938503006, -78.892337182536 42.910509458985))",8720,477786798,200,240,201,239,Massachusetts Avenue,,12,A31,4,35,14213,14213,110.98691094008757
"MULTILINESTRING ((-78.847451188713 42.955990442203, -78.846106109984 42.955974486802))",3826,477774332,592,620,589,625,Saint Lawrence Avenue,,12,A41,5,25,14216,14216,109.86065037128886
"MULTILINESTRING ((-78.821653153291 42.943190440706, -78.81833309861 42.943088457934, -78.817501133026 42.943077440783))",2132,477777346,68,198,73,199,Dunlop Avenue,,12,A41,5,25,14215,14215,339.38911116275966
"MULTILINESTRING ((-78.865916195384 42.911257431268, -78.865266135247 42.911249522182))",8270,477786520,2,18,1,15,East Utica Street,,12,A31,4,35,14209,14209,53.133824443499215
"MULTILINESTRING ((-78.878838213767 42.872049437201, -78.878957115261 42.871589453096, -78.878959729011 42.871573940991))",9806,477797212,,,,,State Route 5,5,01,A15,2,65,14203,14203,53.796445418996136
"MULTILINESTRING ((-78.891929193302 42.917732433148, -78.891830170242 42.918466454677))",8640,477784824,2,20,1,21,Congress Street,,12,A40,5,25,14213,14213,82.012085084510417
"MULTILINESTRING ((-78.806739126093 42.935828469089, -78.80674213098 42.936568476869))",1818,477779026,70,88,71,89,Orleans Street,,12,A41,5,25,14215,14215,82.273631255892013
"MULTILINESTRING ((-78.862764093946 42.8677834445, -78.861801122509 42.867616454768))",10485,477798229,84,114,83,107,Oconnell Avenue,,12,A41,5,25,14204,14204,80.913645326208581
"MULTILINESTRING ((-78.904277193463 42.942435456996, -78.90342719551 42.942782498698))",2879,477777478,46,74,47,71,Grace Street,,12,A41,5,25,14207,14207,79.434406273505729
"MULTILINESTRING ((-78.842705150758 42.923761490172, -78.84274714116 42.923731446694))",5682,477782980,,,,,State Route 198,198,01,A15,2,65,14214,14214,4.788402656189692
"MULTILINESTRING ((-78.801821129647 42.856046464069, -78.80182909847 42.856598493372, -78.801806140873 42.857053499462, -78.801829167702 42.857135478841, -78.801879172273 42.85717649411, -78.80190909716 42.857185493228))",529,477799797,170,398,169,207,Buffum Street,,12,A41,5,25,14210,14210,130.07444981716708
"MULTILINESTRING ((-78.897434155816 42.929353467977, -78.897425134369 42.92940851798))",9405,477781326,1638,1640,,,Niagara Street,266,01,A31,3,35,14207,14207,6.164965531185596
"MULTILINESTRING ((-78.881290159944 42.923227465221, -78.881164114915 42.924153453867))",4990,477783093,722,760,723,761,Richmond Avenue,,12,A41,4,25,14213,14222,103.4689252868899
"MULTILINESTRING ((-78.887322111551 42.937432438923, -78.887495197477 42.937464457621))",3182,477778596,,,,,Ramp,,01,A63,4,45,14216,14216,14.581004766160818
"MULTILINESTRING ((-78.802912122478 42.931738498524, -78.802893172333 42.931679524136, -78.802883163394 42.931628445697, -78.802883140572 42.931562448953))",1779,493141801,300,312,301,309,Oakmont Avenue,,12,A41,5,25,14215,14215,19.811799531269681
"MULTILINESTRING ((-78.822041168269 42.874762505098, -78.822244158181 42.874907432343, -78.822258190718 42.874932443897, -78.822260167739 42.87496443128, -78.822249167348 42.874986498195, -78.822156166201 42.875151495653, -78.822142139571 42.875243443085, -78.822154106517 42.875294454616))",10976,477796396,,,,,Parking Lot,,10,A75,5,15,14206,14206,68.214606569038892
"MULTILINESTRING ((-78.877978196095 42.881810489311, -78.877870122196 42.882158458445))",7528,477794377,38,44,43,45,Franklin Street,,12,A30,4,35,14202,14202,39.684628005634252
"MULTILINESTRING ((-78.850224114462 42.901988471833, -78.850209205759 42.903602444439, -78.850240110692 42.903805518304))",6194,477788890,64,128,65,129,Timon Street,,12,A41,5,25,14211,14211,202.16685764587598
"MULTILINESTRING ((-78.841560200454 42.94987546353, -78.84157813941 42.949856493046))",4011,477775683,,,,,Voorhees Avenue,,12,A41,5,25,14216,14216,2.568112147076743
"MULTILINESTRING ((-78.808490094736 42.832107438241, -78.808547169281 42.832124445145))",78,477802828,,,,,Dorrance Avenue,,12,A62,4,35,14218,14218,5.03849183803676
"MULTILINESTRING ((-78.878693927589 42.869612093476, -78.878665338651 42.869615107311, -78.878596425899 42.869618660906))",9831,800002731,,,,,Bicycle Route 517,,12,A76,4,5,14203,14203,8.011546702512645
"MULTILINESTRING ((-78.851930152771 42.896018508661, -78.851271125677 42.896294439011, -78.850937132814 42.896421479054))",6842,477790500,60,98,61,99,Brown Street,,12,A41,5,25,14211,14211,92.734168296739341
"MULTILINESTRING ((-78.832270118141 42.850708498436, -78.831595173984 42.850695465443, -78.830262128362 42.850684489808, -78.829484089443 42.85067444798, -78.829386086292 42.850692496834, -78.829262090757 42.850733475501))",11242,477800513,2,72,1,75,Trowbridge Street,,12,A41,5,25,14220,14220,247.32769571830633
"MULTILINESTRING ((-78.891595220789 42.906208441736, -78.890474133904 42.906789437197))",8806,477787698,180,218,181,219,Vermont Street,,12,A40,5,25,14213,14213,112.11117027311781
"MULTILINESTRING ((-78.874952194247 42.926011437887, -78.874839112342 42.926175447245, -78.874671137175 42.926337445696, -78.874521207104 42.926439497833, -78.874408202811 42.926495459708, -78.874127167647 42.926593491701, -78.874004187892 42.926613506359))",5048,477782285,90,120,,,Soldiers Place,,12,A71,5,5,14222,14222,106.62791469353391
"MULTILINESTRING ((-78.832563144148 42.881182437914, -78.832445099248 42.881312448143, -78.832313187584 42.881479478427, -78.831997120756 42.881950436401))",10948,477794518,132,164,139,165,Lewis Street,,12,A41,5,25,14206,14206,97.247093252826218
"MULTILINESTRING ((-78.885324170988 42.893135432818, -78.884786149827 42.893420498627))",7902,477827557,154,160,137,159,Virginia Street,,12,A30,3,35,14201,14201,54.213438370901095
"MULTILINESTRING ((-78.867345191052 42.956967523688, -78.866320217946 42.95696051343))",3501,477774009,48,64,55,79,Sanders Road,,12,A41,5,25,14216,14216,83.708143570335849
"MULTILINESTRING ((-78.848516131864 42.930499487401, -78.848157123055 42.930837508931))",4386,477780769,2228,2240,2215,2229,Main Street,5,01,A21,3,35,14214,14214,47.672637854587421
"MULTILINESTRING ((-78.863724194645 42.867951423462, -78.862764093946 42.8677834445))",10484,477798191,58,82,59,81,Oconnell Avenue,,12,A41,5,25,14204,14204,80.710371080952214
"MULTILINESTRING ((-78.887375115995 42.951360495199, -78.887131108832 42.95134151292, -78.886330185201 42.95134651012))",3577,477775358,,,75,75,Race Street,,12,A41,5,25,14207,14207,85.457031956053655
"MULTILINESTRING ((-78.80442218242 42.930706481344, -78.804037192708 42.930698495306, -78.803914173456 42.930708441606, -78.803814197023 42.930722483011, -78.803664170689 42.930757457804, -78.803491118325 42.930810485775, -78.803375159381 42.93085945293, -78.803198085649 42.930968527563, -78.803095189446 42.931056496255, -78.803009086203 42.931158492237, -78.802939162627 42.931282459252, -78.802910168964 42.931406505138))",1794,493141806,254,298,253,299,Hempstead Avenue,,12,A41,5,25,14215,14215,163.02428701692881
"MULTILINESTRING ((-78.837979115356 42.940269504038, -78.837576101786 42.940256474485, -78.836545090701 42.940242464714))",4117,477778000,2,44,1,35,East Amherst Street,,12,A31,4,35,14214,14214,117.18558147553104
"MULTILINESTRING ((-78.849680208005 42.894365491238, -78.848287171663 42.894806489151))",6822,477791123,578,620,575,615,Sycamore Street,,12,A31,4,35,14211,14212,123.98311538254258
"MULTILINESTRING ((-78.843473197746 42.892096427946, -78.843034179557 42.892192491528))",6801,477791863,838,846,839,847,Broadway,954L,01,A31,3,35,14212,14212,37.445113165837014
"MULTILINESTRING ((-78.872352188861 42.934541509847, -78.872726172386 42.934461491571, -78.873173109118 42.934329479693))",4855,477779418,,,,,State Route 198,198,01,A15,2,65,14222,14216,71.17390904880456
"MULTILINESTRING ((-78.856713171053 42.916069450492, -78.85559914856 42.916059492251, -78.855104192189 42.916062500393))",5257,477785211,2,98,1,99,Harlow Place,,12,A40,5,25,14208,14208,131.49180404913199
"MULTILINESTRING ((-78.87446517688 42.949627525648, -78.87451516054 42.950370525821, -78.874562175097 42.950857471833, -78.874645116659 42.952144527443, -78.874666112022 42.952687457889))",3350,477775810,76,198,77,199,Botsford Place,,12,A41,5,25,14216,14216,340.63656534190437
"MULTILINESTRING ((-78.82459613759 42.897042437668, -78.824598195507 42.898207456084))",6421,477790211,226,298,225,299,Person Street,,12,A41,5,25,14212,14212,129.52636179595291
"MULTILINESTRING ((-78.845253161701 42.870743477668, -78.845236195804 42.870795459867, -78.845214165985 42.870862468615))",10721,477797314,,,,,Smith Street,,12,A31,4,35,14210,14210,13.608421098765236
"MULTILINESTRING ((-78.876470329213 42.867280092986, -78.876094298501 42.866800968249, -78.875551375721 42.866043953941, -78.875428492952 42.865865883743, -78.875280629894 42.865599315952, -78.875125092933 42.865365169489, -78.874922790629 42.865082592082, -78.874915955482 42.865072541474))",9771,800002670,,,,,Bicycle Route 517,,12,A76,4,5,14203,14203,276.61735745041966
"MULTILINESTRING ((-78.839583135015 42.869688468111, -78.839417186002 42.869659466985))",10637,477797643,,,,,Interstate 190 Southbound,190,06,A15,1,65,14210,14210,13.948967703730977
"MULTILINESTRING ((-78.869197949734 42.955215448299, -78.869248438307 42.955761649147))",3497,477774487,2598,2618,2631,2641,Delaware Avenue,384,01,A31,3,35,14216,14216,60.868379681361588
"MULTILINESTRING ((-78.863239193262 42.875511432853, -78.862963121981 42.875448461831, -78.862667188035 42.875359510156, -78.862244167561 42.875213445772))",10268,477796274,,,,,Interstate 190 Southbound,190,06,A15,1,65,14204,14204,87.992163999015503
"MULTILINESTRING ((-78.876122200453 42.887554433974, -78.875650105724 42.889031476605))",7790,477792912,166,202,159,195,Franklin Street,,12,A31,4,35,14202,14202,168.696791019144
"MULTILINESTRING ((-78.908895222538 42.951446490323, -78.909017120634 42.952178460046, -78.909052119603 42.952297461795))",2772,477775326,,,2481,2503,Niagara Street,266,01,A31,4,35,14207,14207,95.528347113104303
"MULTILINESTRING ((-78.84903616278 42.900166503647, -78.848675138705 42.900469480111, -78.848522169708 42.900636517492, -78.848470195725 42.900710477301, -78.848369201068 42.900927446182, -78.848336179079 42.901142486839, -78.848336177509 42.901260435941))",6891,477789441,322,366,323,367,Johnson Street,,12,A41,5,25,14211,14211,139.0973784969737
"MULTILINESTRING ((-78.909331179792 42.952919523307, -78.909860201995 42.954050473211))",2748,477774953,,,,,Niagara Street,266,01,A31,4,35,14207,14207,132.9620265349111
"MULTILINESTRING ((-78.82463911515 42.956043499616, -78.825382144069 42.956720473756))",2413,477827238,8,38,7,39,Radcliffe Road,,12,A41,5,25,14214,14214,96.679359741480738
"MULTILINESTRING ((-78.882667728184 42.915474096338, -78.882303166995 42.915448474341))",8476,600020697,,,505,509,Ferry Street,,12,A35,4,35,14213,14213,29.928155339022211
"MULTILINESTRING ((-78.820195089098 42.958059487848, -78.820899098319 42.958073501265))",2463,477773751,82,98,69,81,Kenmore Avenue,307,02,A31,4,35,14226,14226,57.511377135291902
"MULTILINESTRING ((-78.817659121266 42.946339527591, -78.8156581576 42.946168462745))",2221,477776577,322,372,,,Minnesota Avenue,,12,A45,5,25,14215,14215,164.53503092048095
